Hotel Name,Location,Rating,Review Score,Number of Reviews,Room Score,Room Type,Bed Type,Room Price(THB)
El Bulín de Piñuecar,Piñuécar,8.2,Very Good,328,8.1,One-Bedroom House,1 full bed,2059
Hotel Alfar,Isla,7.7,Good,1787,9.0,Two-Bedroom Apartment (4 Adults + 2 Children),"4 beds (2 twins, 1 full, 1 sofa bed)",2259
Hotel Helios Lloret,"Lloret Town Center, Lloret de Mar",8.7,Excellent,1949,9.2,Double or Twin Room,2 twin beds,1171
Don Pedro,Avilés,8.6,Excellent,526,8.9,Double Room,"3 beds (2 twins, 1 full)",1608
Apartamentos El Prado,Valbona,9.1,Wonderful,168,9.1,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",2381
LACASA Apartments Cotillo,El Cotillo,9.2,Wonderful,9,9.4,One Bedroom Superior Apartment,"3 beds (2 twins, 1 sofa bed)",1920
Veramar,Fuengirola,8.2,Very Good,1202,8.3,Studio (2 Adults),2 twin beds,1992
BlueBay Banús,"Puerto Banus, Marbella",7.3,Good,2116,9.0,Family Room,"3 beds (2 twins, 1 full)",5250
Apartment Escor,Segur de Calafell,7.1,Good,597,9.0,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",1325
Apartamentos Andrea,Calera,8.2,Very Good,40,8.1,Studio Apartment with Sea View,2 twin beds,1382
Hostal HPC Porto Colom,Portocolom,7.6,Good,382,8.0,Twin Room with Balcony,2 twin beds,1856
Carema Beach Menorca,Cala en Bosc,8.2,Very Good,917,8.5,Select Apartment,"3 beds (2 twins, 1 sofa bed)",2161
Hotel Abades Benacazon,Benacazón,7.7,Good,2487,9.0,Twin Room with Terrace,2 twin beds,2081
Apartamentos Rurales Azabal,Azabal,8.0,Very Good,200,8.1,One-Bedroom Apartment,1 full bed,1452
Sumus Hotel Monteplaya & SPA 4Sup - Adults Only,"Malgrat de Mar Beach, Malgrat de Mar",8.5,Very Good,934,9.0,Standard Double Room,1 double or 2 twins,1628
Sumus Hotel Monteplaya & SPA 4Sup - Adults Only,"Malgrat de Mar Beach, Malgrat de Mar",8.5,Very Good,934,9.0,Standard Double Room,1 double or 2 twins,1628
Hostal Sorbas,Sorbas,7.3,Good,460,9.0,Standard Double or Twin Room,1 double or 2 twins,1250
Càmping Bellsol,"Pineda de Mar Beach, Pineda de Mar",8.5,Very Good,749,8.6,Bungalow,1 full bed,1214
Barceló Marbella,"San Pedro de Alcantara, Marbella",8.1,Very Good,1438,8.7,Superior Double or Twin Room with Golf View,Multiple bed types,4025
Cortijo Del Mar Resort,Estepona,8.8,Excellent,266,9.1,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",3952
Hostal La Fosca,Palamós,7.4,Good,1553,9.0,Double Room,2 twin beds,1801
AxelBeach Ibiza Suites Apartments Spa and Beach Club - Adults Only,San Antonio Bay,8.5,Very Good,1289,8.7,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",3073
Apartamentos Varadero On the beach,Cala del Moral,8.3,Very Good,147,8.6,Duplex Apartment with Patio,1 queen bed,2003
Hotel y Apartamentos Penarronda Playa,Castropol,9.1,Wonderful,680,9.1,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",2120
Fuente del Lobo Glamping & Bungalows - Adults Only,Pinos Genil,7.8,Good,618,8.1,One-Bedroom Bungalow,1 queen bed,2545
Ona Los Claveles,Los Cristianos,8.5,Very Good,1360,8.7,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1581
Hotel RH Portocristo & Wellness,"Norte Beach, Peniscola",8.5,Very Good,1917,8.7,Double Room with Side Sea View and Terrace,1 double or 2 twins,2435
Hotel Termes Montbrió,Montbrió del Camp,7.8,Good,1001,8.2,Double or Twin Room with Balcony,1 double or 2 twins,2337
Hotel Restaurante La Cañada,Fuencaliente de Lucio,8.1,Very Good,143,8.4,Double or Twin Room,1 full bed,1228
Hotel Mercado by gaiarooms,"Salamanca City Centre, Salamanca",7.6,Good,1617,9.0,Double or Twin Room,1 double or 2 twins,1469
Rosamar & Spa 4*s,Lloret de Mar,8.0,Very Good,1911,8.2,Double or Twin Room with Extra Bed (2 Adults + 1 Child),"3 beds (2 twins, 1 sofa bed)",1872
Apartamentos Ubaga,Ezcaray,7.9,Good,631,8.0,Penthouse Apartment,"2 beds (1 full, 1 sofa bed)",1864
Alua Tenerife,Puerto de la Cruz,8.2,Very Good,1769,8.9,Double Room with Pool View ( 2 adults ),2 twin beds,1964
Iberik Rocallaura Balneari,Vallbona de les Monges,7.9,Good,886,8.6,Triple Room (2 Adults + 1 Child),3 twin beds,2129
Plaza Alaquas,Alaquas,8.0,Very Good,1529,8.3,Standard Double or Twin Room,1 double or 2 twins,2350
La Zenia,"La Zenia, Playas de Orihuela",8.4,Very Good,174,8.2,Apartment with Garden View,"4 beds (3 twins, 1 queen)",2459
Apartamentos Fayna,Playa del Ingles,7.5,Good,1294,9.0,Apartment with Balcony,"3 beds (2 twins, 1 sofa bed)",2381
Sos Ferres D'en Morey,Manacor,9.4,Wonderful,121,9.4,King Suite with Spa Bath,"4 beds (2 twins, 1 king, 1 sofa bed)",5592
Prestige Sant Marc,"Santa Margarida, Roses",8.0,Very Good,1762,8.4,Double or Twin Room with View,1 double or 2 twins,1537
Atzavara Hotel & Spa,"Santa Susanna Beach, Santa Susanna",8.8,Excellent,489,9.4,Design Doble,1 double or 2 twins,2574
Hotel Oasis,"City Center, Conil de la Frontera",7.9,Good,1028,8.1,Double or Twin Room,1 double or 2 twins,1202
Silken Coliseum,"Santander City Centre, Santander",8.4,Very Good,4008,8.8,Standard Double or Twin Room,1 double or 2 twins,2465
eó Corona Cedral,Puerto Rico de Gran Canaria,8.2,Very Good,678,8.5,Studio (2 Adults),"3 beds (2 twins, 1 sofa bed)",1449
"Hotel Faro, a Lopesan Collection Hotel - Adults Only",Maspalomas,9.1,Wonderful,1062,9.6,Deluxe Double Room with Partial Sea View,1 king bed,8471
Ona Los Claveles,Los Cristianos,8.5,Very Good,1360,8.7,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1581
Valentin Park Club,Paguera,8.6,Excellent,713,8.7,Double or Twin Room with Pool View (2 Adults),2 twin beds,3076
Barceló Isla Canela,Isla Canela,8.4,Very Good,1312,8.7,Double Room with Terrace and Pool View,2 twin beds,2570
Hotel Ayamonte Center,Ayamonte,7.8,Good,790,8.0,Twin Room,2 twin beds,1441
Hotel Spa Villalba,Vilaflor,8.7,Excellent,781,9.1,Suite with Spa Bath,"2 beds (1 king, 1 sofa bed)",5549
Complejo Turístico Marina Rey,Vera,8.0,Very Good,220,9.0,Two-Bedroom Apartment with Terrace,"4 beds (2 twins, 1 sofa bed, 1 queen)",1640
El Bulín de Piñuecar,Piñuécar,8.2,Very Good,328,8.1,One-Bedroom House,1 full bed,2059
Apartamentos Rurales La Vera,Jarandilla de la Vera,8.9,Excellent,211,8.9,One-Bedroom Apartment,1 full bed,1593
Hospes Palacio de Arenales & Spa,Cáceres,9.0,Wonderful,2465,9.4,Deluxe Double Room with Spa Access,1 double or 2 twins,4624
Hotel El Águila,Utebo,7.7,Good,706,8.2,Twin Room,2 twin beds,1504
Hotel ROC Illetas & SPA,Illetas,8.3,Very Good,1408,8.5,Double Room with Frontal Sea View,2 twin beds,9147
Globales Verdemar,Santa Ponsa,7.9,Good,868,8.2,One-Bedroom Apartment with Sea View (4 Adults),"4 beds (2 twins, 2 sofa beds)",2828
ALEGRIA Maripins,"Malgrat de Mar Beach, Malgrat de Mar",7.8,Good,1565,8.3,Double or Twin Room,1 double or 2 twins,1293
Hotel Ilunion Bilbao,"Ensanche, Bilbao",8.3,Very Good,11071,8.7,Double Room,2 twin beds,2477
Sol Pelicanos Ocas,Benidorm,7.5,Good,2304,8.0,Family Room,2 twin beds,2860
Hotel Monterrey Roses by Pierre & Vacances,"Santa Margarida, Roses",7.7,Good,2445,8.3,Twin Room,2 twin beds,1298
Pierre & Vacances Villa Romana,Tossa de Mar,7.5,Good,1022,9.0,One Bedroom Apartment Ocean View,"3 beds (2 twins, 1 sofa bed)",1801
Apartamentos Florazar II Ajhory,Cullera,7.5,Good,1745,9.0,Two-Bedroom Apartment with Sea View (4-6 Adults),"6 beds (4 twins, 2 sofa beds)",1925
Hotel Gastronómico Boa Vista,Viveiro,8.3,Very Good,807,8.7,Double or Twin Room,1 double or 2 twins,1650
"Asia Gardens Hotel & Thai Spa, a Royal Hideaway Hotel",Finestrat,9.0,Wonderful,1547,9.4,Superior Deluxe Double or Twin Room (2 Adults),Multiple bed types,10046
Ave del Mar,Camariñas,8.0,Very Good,358,8.4,Twin Room,2 twin beds,1097
Hotel Brismar,Port d'Andratx,7.7,Good,416,8.1,Double or Twin Room with Balcony,1 double or 2 twins,3063
Apartamentos en Leis,Leis,7.9,Good,45,9.0,Apartment - Split Level,2 full beds,1535
Mesón de Sancho,Tarifa,8.9,Excellent,2123,9.1,Bungalow (4 Adults),4 twin beds,2985
Hotel Emblemático San Agustin,Icod de los Vinos,9.5,Exceptional,795,9.5,Double or Twin Room,2 twin beds,2522
El Bulín de Piñuecar,Piñuécar,8.2,Very Good,328,8.1,One-Bedroom House,1 full bed,2059
Hotel Las Murallas,"Old Town of Avila, Ávila",8.1,Very Good,981,8.3,Double or Twin Room,2 twin beds,1326
La Torre del Algas,Nonaspe,9.5,Exceptional,39,9.7,Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",2895
Hostal HB Torrevieja,Torrevieja,8.0,Very Good,1398,8.2,Twin Room,2 twin beds,1405
Apartaments Sa Torre by SUREDA MAS,Canyamel,9.2,Wonderful,495,9.2,Two-Bedroom Apartment,"5 beds (4 twins, 1 sofa bed)",2396
Hotel Condesa,Port d'Alcudia,8.0,Very Good,1093,8.3,Quadruple Room,1 double or 2 twins,3261
Vacaciones Oromarina Azahar,"Marina dOr Holiday Resort Area, Oropesa del Mar",7.5,Good,2136,9.0,Two-Bedroom Apartment with Terrace and Parking,"4 beds (2 twins, 1 full, 1 sofa bed)",1980
Petit Hotel Forn Nou,Artá,8.7,Excellent,671,8.9,Superior Double or Twin Room,1 double or 2 twins,2685
AC Hotel Huelva by Marriott,Huelva,8.3,Very Good,1126,8.7,Standard Plus Queen Room with City View,1 queen bed,2406
Broncemar Beach Suites,Caleta De Fuste,8.3,Very Good,1410,8.6,Deluxe Room,"3 beds (2 twins, 1 sofa bed)",1964
Camping Ripolles,Ripoll,7.1,Good,707,9.0,Bungalow (4 Adults),"3 beds (2 twins, 1 full)",2893
Los Palmitos Peñiscola,Peniscola,7.8,Good,1307,9.0,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1159
Hotel Millan,Negreira,6.9,Review score,1378,9.0,Twin Room,2 twin beds,1666
L'Azure Hotel 4* Sup,Lloret de Mar,9.0,Wonderful,1639,9.4,Standard Double Room (2 Adults),1 double or 2 twins,1595
El Cau dels Somnis,La Cuevarruz,8.0,Very Good,153,8.0,Duplex Apartment,"3 beds (2 twins, 1 queen)",2672
Can Porretí Agroturisme,Lloret de Vistalegre,9.1,Wonderful,127,9.4,Deluxe Apartment,"2 beds (1 full, 1 sofa bed)",3454
Apartamentos Turísticos Eira Do Mar,Aios,8.5,Very Good,247,8.5,One-Bedroom Apartment with Sea View,"2 beds (1 full, 1 sofa bed)",1692
Apartamentos Ares 3000,Ares,6.8,Review score,222,9.0,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",1169
Complejo turístico Quinta La Espadaña,Bedriñana,8.7,Excellent,81,8.6,Apartment with Balcony,"3 beds (2 twins, 1 full)",2569
Hotel Exe Reina Isabel,Ávila,8.8,Excellent,1959,9.1,Double or Twin Room,1 double or 2 twins,1757
Apartamentos VIDA Finisterre,Finisterre,8.9,Excellent,268,9.0,Two-Bedroom Apartment with Balcony,"4 beds (2 twins, 1 full, 1 sofa bed)",1625
Catalonia Santa Justa,"San Pablo - Santa Justa, Seville",8.7,Excellent,4558,9.2,Double Room,1 double or 2 twins,5427
Bungalows El Arenal,"Javea Beach, Jávea",8.5,Very Good,604,8.5,Studio Apartment,1 full bed,2183
Hotel Palacio Urgoiti,Mungia,8.6,Excellent,661,9.1,Superior Double Room with Terrace,1 queen bed,2984
Parador de Manzanares,Manzanares,8.2,Very Good,823,8.7,Double Room,2 twin beds,2303
Parques Casablanca,"Benissa Coast, Benissa",9.0,Wonderful,588,9.2,Two-Bedroom Apartment,2 full beds,2509
Hotel Mainare Playa,"Las Gaviotas Beach, Fuengirola",7.5,Good,809,8.0,Double or Twin Room with Side Sea View,1 double or 2 twins,2077
Xon's Platja HA,Empuriabrava,6.9,Review score,2242,9.0,One-Bedroom Apartment (2 Adults + 1 Child),"3 beds (2 twins, 1 sofa bed)",1782
Hotel Hispania,Playa de Palma,8.0,Very Good,2139,8.1,Double or Twin Room,1 double or 2 twins,3494
Hotel Pamplona Plaza,Pamplona,7.9,Good,2434,8.4,Double or Twin Room,1 double or 2 twins,2583
Leonardo Royal Hotel Mallorca,Palmanova,8.1,Very Good,37,8.3,Double Room,1 double or 2 twins,3273
Aparthotel Esquinzo Y Monte Del Mar,Playa Jandia,7.3,Good,1594,9.0,Studio,2 twin beds,1350
Nuria,Tarragona,8.1,Very Good,1936,8.5,Double or Twin Room with Pool View,1 double or 2 twins,1965
piso acogedor con encanto,Navas del Rey,8.5,Very Good,19,8.8,Two-Bedroom Apartment,2 full beds,1983
Hotel Rosamar Garden Resort 4*,Lloret de Mar,7.9,Good,2191,8.0,Double Room with Extra Bed (2 Adults + 1 Child),"2 beds (1 full, 1 sofa bed)",2073
Hotel Be Live Adults Only Marivent,"Cala Major, Palma de Mallorca",7.4,Good,3032,9.0,Double Room,2 twin beds,4032
Holiday Club Vista Amadores,Amadores,8.6,Excellent,313,9.0,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",3676
Hotel Alda Centro Ponferrada,Ponferrada,7.5,Good,2848,9.0,Economy Double or Twin Room,1 double or 2 twins,1155
room007 Select Tetuán,"Old Town, Seville",8.5,Very Good,3472,8.7,Superior Double Room with Balcony,1 full bed,6962
Golden Costa Salou - Adults Only 4* Sup,Salou,9.0,Wonderful,1597,9.4,Double Room with Pool View,1 full bed,2150
Royal Sunset Beach Club,Adeje,8.6,Excellent,2052,9.1,Two-Bedroom Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)",5381
La Casa Del Puente,Regules,8.6,Excellent,320,9.2,Double Room with Whirlpool,1 full bed,2693
Alda Vía de la Plata Rooms,La Bañeza,7.9,Good,347,9.0,Economy Double or Twin Room,1 double or 2 twins,934
Complejo Blue Sea Puerto Resort compuesto por Hotel Canarife y Bonanza Palace,Puerto de la Cruz,7.0,Good,1306,9.0,Double or Twin Room,1 double or 2 twins,1530
The Agir Springs Hotel by Medplaya,Benidorm,8.5,Very Good,1947,8.8,Junior Suite,"2 beds (1 full, 1 sofa bed)",3419
Apartamentos Parque Mar,Cala d´Or,8.6,Excellent,236,8.6,Studio (2 Adults),2 twin beds,2412
NH Luz Huelva,Huelva,8.2,Very Good,2227,8.7,Standard Double or Twin Room,1 full bed,1977
The Real Casa Atlantica Morro Jable By PVL,Morro del Jable,7.6,Good,924,9.0,Studio Apartment with Sea View,"3 beds (2 twins, 1 sofa bed)",1219
Itaca Artemisa by Soho Boutique,"Old Town, Seville",8.0,Very Good,1114,8.3,Double Room,1 double or 2 twins,4565
Be Free Carboneras,Carboneras,7.1,Good,196,9.0,Apartment with Terrace,"2 beds (1 full, 1 sofa bed)",1334
Apartments Kione Playa Romana Park,Alcossebre,7.8,Good,2031,9.0,Two-Bedroom Apartment (6 Adults + 2 Children),"6 beds (4 twins, 2 sofa beds)",1655
AR Diamante Beach Spa Hotel,"Fossa-Levante Beach, Calpe",8.4,Very Good,1853,8.9,Double or Twin Room,Multiple bed types,2466
Apartamentos Sinfony,Canyamel,9.2,Wonderful,147,9.4,Studio with Balcony (2 Adults),2 twin beds,2211
Catalonia Reina Victoria,Ronda,9.0,Wonderful,2664,9.3,Double or Twin Room,1 double or 2 twins,4094
Occidental Torremolinos Playa,"Los Álamos, Torremolinos",7.9,Good,1999,8.4,Family Room,"3 beds (2 twins, 1 sofa bed)",4342
Apartments Vista Montaña Roja,Atogo,7.9,Good,44,8.0,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1034
Sercotel Boulevard Vitoria-Gasteiz,Vitoria-Gasteiz,8.2,Very Good,4096,8.6,Junior Suite,1 double or 2 twins,2254
NH Collection Palacio de Burgos,Burgos,8.4,Very Good,3634,9.0,Superior Double or Twin Room with View,1 double or 2 twins,3119
Eurostars Palacio de Cristal,Oviedo,8.5,Very Good,3262,8.8,Double Room,Multiple bed types,1642
Hotel Riu Concordia,Playa de Palma,8.8,Excellent,1440,9.2,Double Room,1 double or 2 twins,3641
La Mojonera,Isla Plana,8.7,Excellent,432,9.0,Standard One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1480
Camelina Suites - Formerly Torrent Bay,San Antonio Bay,8.5,Very Good,1173,8.7,One-Bedroom Bungalow - Deluxe House,"3 beds (2 twins, 1 sofa bed)",3775
Nativo Hotel Ibiza,Santa Eularia des Riu,8.8,Excellent,735,9.2,Boheme Double Room,"2 beds (1 king, 1 sofa bed)",7023
Mazarron Country Club Resort,Mazarrón,8.3,Very Good,280,8.2,Villa Antojo Deluxe 4 people,4 twin beds,2018
Apartamentos A Vivir Sierra Nevada 3000,Sierra Nevada,7.9,Good,166,8.0,Studio,1 full bed,1122
Sol Torremolinos - Don Pedro,"Bajondillo, Torremolinos",8.3,Very Good,1643,8.6,Double or Twin Room with Pool View,Multiple bed types,3360
Hostal Residencia Catalina,Palamós,7.9,Good,590,8.2,Double Room,1 full bed,1497
Hotel Zahara Beach & Spa - Adults Recommended,Zahara de los Atunes,8.6,Excellent,1812,9.2,Superior Twin Room,1 double or 2 twins,3026
Finca Marisa,Tinajo,9.2,Wonderful,282,9.3,Deluxe Suite,1 king bed,4753
NH Ourense,Ourense,8.5,Very Good,1355,8.9,Standard Double or Twin Room,1 double or 2 twins,2218
Hotel Apartamentos Cala Santanyi,Cala Santanyi,8.8,Excellent,287,9.0,Superior Apartment,"2 beds (1 sofa bed, 1 queen)",3913
Canaima - Only Adults,Puerto Rico de Gran Canaria,7.8,Good,672,9.0,One-Bedroom Apartment ( 3 adults ),"3 beds (2 twins, 1 sofa bed)",1469
Hotel Pamplona Villava,Villava,8.4,Very Good,716,8.7,Standard Twin Room,2 twin beds,1694
Hotel Castelao,Vilagarcia de Arousa,8.0,Very Good,508,8.5,Double or Twin Room,1 double or 2 twins,1708
Eurostars Las Salinas,Caleta De Fuste,8.3,Very Good,1681,8.8,Junior Suite,2 twin beds,2653
Inturotel Cala Azul,Cala d´Or,8.4,Very Good,1587,8.7,Superior Apartment with Sea View (2 Adults + 2 Children),"4 beds (2 twins, 2 sofa beds)",3858
Hotel Na Taconera,Font de Sa Cala,7.8,Good,337,8.4,Standard Double Room,3 twin beds,2196
Hotel Suites Valles Pasiegos,Saro,8.8,Excellent,326,9.3,Suite,1 king bed,2276
Holiday Park Santa Ponsa,Santa Ponsa,7.2,Good,310,9.0,Standard Apartment,"4 beds (2 twins, 2 sofa beds)",1535
Hotel Guitart Central Park Aqua Resort,Lloret de Mar,7.2,Good,1802,9.0,Standard Double or Twin Room,2 twin beds,1461
Eurostars Toledo,Toledo,8.4,Very Good,3302,8.9,Double or Twin Room,Multiple bed types,2458
Apartamentos BlueBay Beach Club,San Agustin,7.4,Good,1399,9.0,One-Bedroom Apartment,"3 beds (2 twins, 1 sofa bed)",1695
Hotel ECOLOGICO TOTAL,Santa Cruz de Mudela,8.5,Very Good,165,8.9,Double or Twin Room,Multiple bed types,1729
La Manga Club Resort - 3 bedroom Duplex - La Colina,Atamaría,8.0,,545,9.0,Three-Bedroom Apartment,"5 beds (4 twins, 1 king)",4089
Hotel Celta,Vigo,7.1,Good,2661,9.0,Executive Suite,1 full bed,1338
Hotel Honucai,Colònia de Sant Jordi,8.8,Excellent,519,9.1,Twin Room,2 twin beds,2921
Grupotel Alcudia Suite,Playa de Muro,8.1,Very Good,517,8.3,Studio (2 Adults),2 twin beds,1877
Hotel Betriu,Coll de Nargó,8.3,Very Good,291,8.6,Double or Twin Room,1 double or 2 twins,1754
Pato Amarillo,Punta Umbría,8.2,Very Good,1057,8.7,Double Room with Sea View,2 twin beds,2701
Exe Agora Cáceres,Cáceres,8.3,Very Good,2314,8.7,Double Room,1 double or 2 twins,2686
Catalonia Giralda,"Old Town, Seville",8.6,Excellent,4468,9.0,Premium Double or Twin Room,Multiple bed types,5557
Exe Auriense,Ourense,7.8,Good,1574,8.3,Double or Twin Room,2 twin beds,1598
FERGUS Style Soller Beach,Port de Soller,8.4,Very Good,557,8.8,Standard Double Room (2 Adults),2 twin beds,4503
PATOS BEACH HOUSE,Nigrán,8.2,Very Good,337,8.4,Double Room,1 full bed,1466
Hotel Palacio del Mar,Santander,8.3,Very Good,1623,8.6,Imperial Suite,1 queen bed,7375
Beach Resort La Margarita,Hospitalet de l'Infant,9.0,Wonderful,72,8.7,Two-Bedroom House,"3 beds (2 twins, 1 queen)",2506
Hotel Claramar,Platja d'Aro,7.4,Good,1757,9.0,Triple Room with Balcony,Multiple bed types,2050
Les Suites,Santa María de Palautordera,8.2,Very Good,1169,8.5,Deluxe King Studio,"2 beds (1 sofa bed, 1 queen)",3049
Sercotel Puerto de la Luz,Las Palmas de Gran Canaria,8.5,Very Good,1760,8.8,Classic Room,1 double or 2 twins,1587
Alanda Marbella Hotel,Marbella,8.4,Very Good,1520,9.0,Premium Deluxe Double Room,1 double or 2 twins,6975
Aptos. Comte D´Empuries,Empuriabrava,7.1,Good,2115,9.0,One-Bedroom Apartment (2 Adults + 2 Children),"4 beds (2 twins, 2 sofa beds)",1745
Hotel Sierra Luz,Cortegana,8.2,Very Good,352,8.5,Villa,8 twin beds,5263
Mobile Homes by KelAir at Playa Montroig Camping Resort,Tarragona,8.3,Very Good,177,8.2,Mobile Home,"4 beds (2 twins, 1 full, 1 bunk bed)",1371
Casa Polo,Loiba,8.8,Excellent,46,8.1,Three-Bedroom Townhouse (Full Rental),"4 beds (2 twins, 2 fulls)",1379
NUMA HOTEL BOUTIQUE,"Gijon City Centre, Gijón",9.0,Wonderful,1928,9.5,Standard Double or Twin Room,2 twin beds,2303
Apartamentos Chiclana Coto de Sancti Petri,Chiclana de la Frontera,8.2,Very Good,135,8.3,Two-Bedroom Apartment,"3 beds (2 twins, 1 full)",2587
Apartamentos Candelario by gaiarooms,Candelario,8.5,Very Good,673,8.6,Duplex Apartment,"2 beds (1 full, 1 sofa bed)",1466
Radisson Blu Resort Gran Canaria,La Playa de Arguineguín,9.0,Wonderful,1398,9.1,Suite- 1 Bedroom & Sea View,"2 beds (1 king, 1 sofa bed)",7369
Soho Boutique Cádiz,"Old Town, Cádiz",8.9,Excellent,425,9.3,Economy Double Room,Multiple bed types,2770
Duran Hotel & Restaurant,Figueres,8.5,Very Good,2425,9.0,Double Room,1 double or 2 twins,1866
Hotel Gran Canaria Princess - Adults Only,Playa del Ingles,8.2,Very Good,2161,8.7,Standard Double Room,1 full bed,3210
H10 Rubicón Palace,Playa Blanca,7.8,Good,1539,8.2,Double or Twin Room (2 Adults),Multiple bed types,4756
Las Villas de Amadores,Puerto Rico de Gran Canaria,8.3,Very Good,825,8.6,One-Bedroom Apartment with Balcony,"2 beds (1 full, 1 sofa bed)",2381
AC Hotel Gran Canaria by Marriott,Las Palmas de Gran Canaria,8.0,Very Good,1256,8.4,"Standard Room King, Guest room, 1 King",1 king bed,1999
Calahonda apartments - Los Jarales,Mijas Costa,7.5,Good,353,9.0,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",2229
Hotel 280 Zaragoza Inspired by B&B HOTELS,Calatorao,7.7,Good,720,8.3,Twin Room,2 twin beds,1320
Finca el Castillo,Buenavista del Norte,8.9,Excellent,132,8.7,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1737
Alexandre Hotel Troya,Playa de las Americas,7.7,Good,1389,8.0,Family Room (2 Adults + 2 Children),1 double or 2 twins,5393
Can Barnosell - Els Masos d'en Coll,Llaviá,9.0,Wonderful,483,9.2,Superior Double Room,1 full bed,2474
Poniente Playa Aparthotel,San Antonio,8.2,Very Good,952,8.5,One-Bedroom Apartment with Air Conditioning,"4 beds (2 twins, 2 sofa beds)",3385
Casa Rural Las Albertas,Arbancón,8.9,Excellent,130,9.1,Deluxe Suite with Spa Bath,"3 beds (2 twins, 1 full)",3188
